pid;Bedroom;FullBath;HalfBath;Exter Cond;Exter Qual;Heating QC;Kitchen Qual;MS Zoning;pid_1;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Mas Vnr Type;Mas Vnr Area;foundation;heating;Central Air;electrical;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Kitchen AbvGr;TotRms AbvGrd;functional;fireplaces;Fireplace Qu;Paved Drive;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;fence;MS SubClass;Gr Liv Area;description;code;id;description_1;code_1;pid_1_1;Sale Date;Sale Type;Sale Condition;saleprice
527108060;3;2;1;3;2;1;2;6;527108060;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;248;PConc ;GasA ;Y;SBrkr;1700;512;0;1;9;Typ ;1;Gd;Y;237;38;0;0;115;NA   ;60;2212;;;6;Residential Low Density      ;RL     ;527108060;2006/05/11 00:00:00.000000000;New  ;Partial;309000
527108070;3;2;0;3;1;1;1;6;527108070;Gable  ;CompShg;VinylSd;VinylSd;Stone  ;160;PConc ;GasA ;Y;SBrkr;1746;0;0;1;7;Typ ;2;Gd;Y;201;39;0;0;0;NA   ;20;1746;;;6;Residential Low Density      ;RL     ;527108070;2009/10/12 00:00:00.000000000;WD   ;Normal ;377500
527108090;3;2;1;3;2;1;2;6;527108090;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;887;1134;0;1;9;Typ ;1;Gd;Y;0;100;0;0;0;NA   ;60;2021;;;6;Residential Low Density      ;RL     ;527108090;2006/09/13 00:00:00.000000000;New  ;Partial;274725
527110020;3;2;1;3;3;2;3;6;527110020;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;22;PConc ;GasA ;Y;SBrkr;804;670;0;1;7;Typ ;1;TA;Y;120;72;0;0;0;NA   ;80;1474;;;6;Residential Low Density      ;RL     ;527110020;2009/05/21 00:00:00.000000000;WD   ;Normal ;168500
527110080;3;2;0;3;3;2;3;6;527110080;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;794;676;0;1;6;Typ ;0;NA;Y;0;75;0;0;0;NA   ;60;1470;;;6;Residential Low Density      ;RL     ;527110080;2007/07/15 00:00:00.000000000;WD   ;Normal ;177000
527110120;3;2;1;3;3;2;3;6;527110120;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;916;684;0;1;7;Typ ;1;TA;Y;100;38;0;0;0;NA   ;60;1600;;;6;Residential Low Density      ;RL     ;527110120;2007/08/22 00:00:00.000000000;WD   ;Normal ;169000
527110130;3;2;1;3;3;2;3;6;527110130;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;754;630;0;1;7;Typ ;1;TA;Y;0;0;0;0;0;NA   ;80;1384;;;6;Residential Low Density      ;RL     ;527110130;2007/03/17 00:00:00.000000000;WD   ;Normal ;161500
527126030;2;2;0;3;2;1;1;6;527126030;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1652;0;0;1;6;Typ ;0;NA;Y;96;48;0;0;0;NA   ;120;1652;;;6;Residential Low Density      ;RL     ;527126030;2007/08/21 00:00:00.000000000;WD   ;Normal ;251000
527127100;1;2;0;3;2;1;2;6;527127100;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;2522;0;0;1;8;Typ ;1;Gd;Y;182;57;0;0;0;NA   ;120;2522;;;6;Residential Low Density      ;RL     ;527127100;2009/11/22 00:00:00.000000000;WD   ;Normal ;375000
527127140;0;1;1;3;2;1;1;6;527127140;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1593;0;0;1;5;Typ ;1;Gd;Y;0;120;0;0;224;NA   ;120;1593;;;6;Residential Low Density      ;RL     ;527127140;2008/08/19 00:00:00.000000000;WD   ;Normal ;286000
527127150;2;2;0;3;2;1;2;6;527127150;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1338;0;0;1;6;Typ ;0;NA;Y;0;0;170;0;0;NA   ;120;1338;;;6;Residential Low Density      ;RL     ;527127150;2010/04/15 00:00:00.000000000;WD   ;Normal ;213500
527131030;2;2;0;3;2;1;1;6;527131030;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1659;0;0;1;5;Typ ;1;Ex;Y;212;59;0;0;0;NA   ;120;1659;;;6;Residential Low Density      ;RL     ;527131030;2009/10/23 00:00:00.000000000;WD   ;Normal ;278000
527131110;1;1;1;3;2;1;2;6;527131110;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1682;0;0;1;6;Min1;1;TA;Y;0;0;0;0;0;NA   ;120;1682;;;6;Residential Low Density      ;RL     ;527131110;2008/07/15 00:00:00.000000000;WD   ;Normal ;247900
527132090;2;2;0;3;3;1;3;6;527132090;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1478;0;0;1;5;Typ ;0;NA;Y;168;43;0;0;0;NA   ;120;1478;;;6;Residential Low Density      ;RL     ;527132090;2009/07/11 00:00:00.000000000;WD   ;Normal ;240000
527140090;2;2;0;3;2;2;2;6;527140090;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;1337;0;0;1;5;Typ ;1;TA;Y;96;0;70;168;0;NA   ;120;1337;;;6;Residential Low Density      ;RL     ;527140090;2008/10/19 00:00:00.000000000;WD   ;Normal ;180000
527145080;2;2;0;3;2;1;2;6;527145080;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;1280;0;0;1;5;Typ ;0;NA;Y;0;82;0;0;144;NA   ;120;1280;;;6;Residential Low Density      ;RL     ;527145080;2010/01/16 00:00:00.000000000;WD   ;Normal ;191500
527145090;2;2;0;3;2;1;2;6;527145090;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;1280;0;0;1;5;Typ ;0;NA;Y;0;82;0;0;144;NA   ;120;1280;;;6;Residential Low Density      ;RL     ;527145090;2008/08/20 00:00:00.000000000;WD   ;Normal ;180000
527146010;2;2;0;3;2;1;2;6;527146010;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1734;0;0;1;6;Typ ;0;NA;Y;52;50;0;0;0;NA   ;120;1734;;;6;Residential Low Density      ;RL     ;527146010;2009/09/23 00:00:00.000000000;WD   ;Normal ;239500
527146030;2;2;0;3;2;1;2;6;527146030;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;1616;0;0;1;5;Typ ;1;TA;Y;237;152;0;0;0;NA   ;120;1616;;;6;Residential Low Density      ;RL     ;527146030;2010/03/21 00:00:00.000000000;WD   ;Normal ;236500
527146135;4;2;1;3;2;1;2;6;527146135;Gable  ;CompShg;CemntBd;CmentBd;None   ;0;PConc ;GasA ;Y;SBrkr;2079;608;0;1;9;Typ ;0;NA;Y;168;12;0;0;0;NA   ;160;2687;;;6;Residential Low Density      ;RL     ;527146135;2006/12/19 00:00:00.000000000;WD   ;Normal ;270000
527158020;3;2;0;3;3;2;3;6;527158020;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;112;PConc ;GasA ;Y;SBrkr;1169;0;0;1;6;Typ ;1;TA;Y;0;26;0;0;144;MnPrv;20;1169;;;6;Residential Low Density      ;RL     ;527158020;2006/07/21 00:00:00.000000000;WD   ;Normal ;183500
527158090;3;2;1;3;3;2;3;6;527158090;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;32;PConc ;GasA ;Y;SBrkr;924;770;0;1;7;Typ ;1;TA;Y;256;64;0;0;0;MnPrv;80;1694;;;6;Residential Low Density      ;RL     ;527158090;2007/03/25 00:00:00.000000000;WD   ;Normal ;160000
527161010;3;2;1;3;3;1;3;6;527161010;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;926;678;0;1;7;Typ ;1;TA;Y;0;36;0;0;0;NA   ;60;1604;;;6;Residential Low Density      ;RL     ;527161010;2008/07/20 00:00:00.000000000;WD   ;Normal ;181000
527161040;3;2;1;3;2;2;3;6;527161040;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;751;631;0;1;7;Typ ;1;TA;Y;256;0;0;0;0;NA   ;80;1382;;;6;Residential Low Density      ;RL     ;527161040;2009/02/18 00:00:00.000000000;WD   ;Normal ;177500
527161090;3;2;1;3;3;2;3;6;527161090;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;947;767;0;1;7;Typ ;1;TA;Y;256;48;0;0;0;NA   ;60;1714;;;6;Residential Low Density      ;RL     ;527161090;2007/04/16 00:00:00.000000000;WD   ;Abnorml;180000
527162080;3;2;1;3;2;2;2;6;527162080;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;691;862;0;1;6;Typ ;0;NA;Y;0;44;0;0;0;NA   ;60;1553;;;6;Residential Low Density      ;RL     ;527162080;2007/08/12 00:00:00.000000000;WD   ;Normal ;178750
527162090;3;2;0;3;3;2;3;6;527162090;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;38;PConc ;GasA ;Y;SBrkr;1253;0;0;1;6;Typ ;1;TA;Y;220;21;0;0;0;NA   ;20;1253;;;6;Residential Low Density      ;RL     ;527162090;2007/06/28 00:00:00.000000000;WD   ;Normal ;176000
527162110;3;2;1;3;3;2;3;6;527162110;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;40;PConc ;GasA ;Y;SBrkr;885;833;0;1;7;Typ ;1;TA;Y;0;94;0;0;291;NA   ;60;1718;;;6;Residential Low Density      ;RL     ;527162110;2009/12/23 00:00:00.000000000;WD   ;Normal ;185000
527162120;3;2;1;3;2;2;3;6;527162120;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;952;684;0;1;7;Typ ;1;TA;Y;0;84;0;0;0;NA   ;60;1636;;;6;Residential Low Density      ;RL     ;527162120;2009/10/25 00:00:00.000000000;WD   ;Normal ;191000
527162130;3;2;1;3;3;2;2;6;527162130;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;1028;776;0;1;7;Typ ;1;TA;Y;140;60;0;0;0;NA   ;60;1804;;;6;Residential Low Density      ;RL     ;527162130;2010/06/18 00:00:00.000000000;WD   ;Normal ;189000
527162140;5;3;1;3;3;1;3;6;527162140;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;957;1342;0;1;7;Typ ;1;TA;Y;188;30;0;0;0;NA   ;60;2299;;;6;Residential Low Density      ;RL     ;527162140;2007/08/10 00:00:00.000000000;WD   ;Normal ;204000
527162180;3;2;1;3;3;2;3;6;527162180;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;932;701;0;1;7;Typ ;1;TA;Y;0;39;0;0;0;NA   ;60;1633;;;6;Residential Low Density      ;RL     ;527162180;2008/04/28 00:00:00.000000000;WD   ;Family ;183000
527163010;3;2;1;3;3;2;3;6;527163010;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;763;892;0;1;7;Typ ;1;TA;Y;157;84;0;0;0;NA   ;60;1655;;;6;Residential Low Density      ;RL     ;527163010;2010/04/27 00:00:00.000000000;WD   ;Normal ;175900
527163020;3;2;1;3;3;2;2;6;527163020;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;112;PConc ;GasA ;Y;SBrkr;697;804;0;1;6;Typ ;1;TA;Y;190;63;0;0;0;NA   ;60;1501;;;6;Residential Low Density      ;RL     ;527163020;2006/05/26 00:00:00.000000000;WD   ;Normal ;165600
527163040;3;2;1;3;2;2;3;6;527163040;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;799;772;0;1;7;Typ ;1;TA;Y;0;40;0;0;0;NA   ;60;1571;;;6;Residential Low Density      ;RL     ;527163040;2009/05/24 00:00:00.000000000;WD   ;Normal ;178000
